Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rtz,Rdp,Rdrs,Rdrs/yr,Rpm,Rdp_1,Rgood,Rair,Rrange,Rthrow,RF/9,RF/G,Season
NA,LgAvg,NA,NA,NA,19,18,16,156,74,24,48,2,11,0.974,0,0,0,0,0,0,0,0,0,0,0,0,4.13,3.72,2017
1,Willy Adames\adamewi01,22,TBR,AL,75,72,66,628.2,246,72,161,13,38,0.947,0,0,-1,1,-8,-15,-10,1,1,0,-9,-1,3.34,3.11,2018
2,Ehire Adrianza\adriaeh01,28,MIN,AL,64,60,55,534,206,61,138,7,30,0.966,-9,-19,-7,-2,-4,-9,-4,0,0,0,-3,0,3.35,3.11,2018
3,Nick Ahmed\ahmedni01,28,ARI,NL,148,135,133,1239.2,606,165,432,9,98,0.985,22,21,19,3,28,27,23,2,3,-1,9,15,4.33,4.03,2018
4,Hanser Alberto\alberha01,25,TEX,AL,5,3,2,30,18,7,10,1,3,0.944,0,-4,0,0,0,0,0,0,0,0,-1,0,5.1,3.4,2018
5,Tim Anderson\anderti01,25,CHW,AL,151,151,144,1329.1,600,188,392,20,72,0.967,1,1,4,-3,12,11,14,-1,-1,-1,10,5,3.93,3.84,2018
6,Elvis Andrus\andruel01,29,TEX,AL,97,96,87,832.2,413,139,263,11,77,0.973,1,2,-3,4,3,4,-3,3,3,0,-6,3,4.35,4.14,2018
7,Orlando Arcia\arciaor01,23,MIL,NL,116,92,77,852.1,412,154,243,15,57,0.964,11,15,9,2,7,10,9,0,-2,2,2,5,4.19,3.42,2018
8,Abiatal Avelino\aveliab01,23,SFG,NL,3,2,1,19,9,3,6,0,0,1,0,25,0,NA,1,63,1,0,0,0,0,0,4.26,3,2018
9,Javier Baez\baezja01,25,CHC,NL,65,52,32,462.2,230,67,155,8,29,0.965,-4,-11,-4,0,4,10,2,1,1,1,1,0,4.32,3.42,2018
10,Franklin Barreto\barrefr02,22,OAK,AL,2,1,1,16,6,3,3,0,0,1,0,-15,0,NA,0,0,0,0,0,0,0,0,3.38,3,2018
11,Gordon Beckham\beckhgo01,31,SEA,AL,2,1,1,11,11,3,8,0,1,1,1,142,1,0,1,109,1,0,0,0,0,1,9,5.5,2018
12,Tim Beckham\beckhti01,28,BAL,AL,49,46,45,404.2,206,80,114,12,31,0.942,-4,-11,-4,0,-4,-12,-4,0,0,-1,-1,-2,4.31,3.96,2018
13,Alex Blandino\blandal01,25,CIN,NL,11,6,3,60.2,34,12,20,2,8,0.941,1,24,1,0,-1,-20,0,0,-1,0,1,-1,4.75,2.91,2018
